winsorized_Adult_Mortality,winsorized_Infant_Deaths,winsorized_Alcohol,winsorized_Percentage_Exp,winsorized_HepatitisB,winsorized_Under_Five_Deaths,winsorized_Polio,winsorized_Tot_Exp,winsorized_Diphtheria,winsorized_HIV,winsorized_GDP,winsorized_Population,winsorized_thinness_1to19_years,winsorized_thinness_5to9_years,winsorized_Income_Comp_Of_Resources,winsorized_Schooling,BMI
181.0,2,2.52,665.726,93.0,2,93.0,6.77,94.0,0.2,3988.772,6281189.0,1.6,1.6,0.676,13.2,55.4
137.0,7,3.87,282.144,91.0,8,91.0,5.58,94.0,0.1,4255.566,14691275.0,1.3,1.2,0.702,13.1,5.0
137.0,1,4.25,20.218,91.0,1,92.0,5.25,45.0,0.1,1643.758,2981259.0,2.0,2.1,0.679,10.9,48.8
9.0,0,12.03,337.102,96.0,0,96.0,1.42,96.0,0.1,2363.972,1568247.0,0.7,0.5,0.809,16.0,57.3
137.0,22,0.47,9.469,96.0,26,98.0,5.6,98.0,0.1,213.756,35217.0,6.5,6.3,0.569,9.8,49.1
46.0,45,0.42,8.936,18.0,79,45.0,3.91,45.0,3.2,66.242,1679.0,1.5,1.4,0.306,5.6,15.4
178.0,0,6.32,1109.855,85.0,0,85.0,5.69,85.0,0.4,8787.614,547928.0,3.5,3.5,0.722,12.7,57.7
134.0,1,2.86,57.178,91.0,1,96.0,5.4,94.0,0.1,783.262,333897.0,2.1,2.1,0.645,10.8,47.8
183.0,4,2.05,13.391,97.0,4,97.0,3.37,97.0,0.1,216.682,19968.0,15.3,15.4,0.735,13.4,19.2
369.0,50,0.01,68.558,85.0,76,85.0,4.34,85.0,3.2,1255.648,2182383.0,5.9,5.9,0.496,10.4,27.2
266.0,9,3.72,60.447,77.0,12,77.0,11.23,77.0,1.5,379.69,47167.0,7.2,7.0,0.406,9.5,25.0
295.0,11,0.71,85.718,61.0,14,72.0,4.4,71.0,1.4,956.669,6627922.0,1.4,1.3,0.461,8.6,42.7
356.0,64,1.97,59.834,81.0,87,76.0,4.8,81.0,3.2,839.181,388599.0,8.4,8.3,0.494,10.1,17.3
491.0,30,4.21,33.347,63.0,48,45.0,11.79,45.0,1.5,227.779,4739147.0,1.1,1.2,0.302,7.0,17.5
16.0,5,3.16,222.482,93.0,6,94.0,7.89,94.0,0.7,1592.572,777972.0,2.4,2.3,0.59,10.9,44.3
12.0,1,4.09,1043.108,89.0,1,45.0,7.8,45.0,0.1,4425.575,418738.0,2.1,2.0,0.719,12.2,49.3
326.0,2,1.18,106.035,25.0,2,64.0,6.76,64.0,3.2,864.185,77752.0,6.0,5.9,0.388,4.4,29.8
144.0,2,10.4,9.146,98.0,3,99.0,6.17,99.0,0.1,94.773,17153357.0,2.3,2.4,0.803,15.0,56.0
312.0,22,0.01,38.732,96.0,33,96.0,8.21,96.0,1.2,265.286,931971.0,7.5,7.5,0.393,10.3,17.1
139.0,2,9.1,10.326,96.0,2,89.0,5.53,89.0,0.1,92.278,2147528.0,2.9,3.1,0.798,15.7,57.7
491.0,43,2.61,46.83,82.0,70,86.0,6.56,85.0,3.2,378.274,1824125.0,7.4,7.4,0.424,9.8,17.1
277.0,54,0.11,43.422,71.0,87,52.0,7.39,51.0,1.5,258.464,1413264.0,11.6,11.5,0.286,4.4,15.7
491.0,48,1.15,12.798,64.0,80,86.0,5.7,45.0,3.2,146.762,11695863.0,7.9,7.7,0.387,10.1,14.4
289.0,2,8.9,133.522,75.0,3,75.0,3.12,75.0,3.2,1716.226,169711.0,6.4,6.3,0.664,12.5,34.1
58.0,0,7.2,778.248,42.0,0,98.0,9.47,98.0,0.1,5276.256,9378126.0,1.3,1.3,0.895,15.8,57.3
368.0,30,2.3,143.87,94.0,47,93.0,4.73,94.0,3.2,1139.112,13456417.0,6.7,6.6,0.518,11.6,2.2
224.0,0,5.07,0.0,43.0,0,87.0,8.86,82.0,1.5,51.216,13866.0,8.0,8.1,0.488,9.3,2.7
92.0,0,12.42,1109.855,94.0,0,99.0,8.2,99.0,0.1,8787.614,45895.0,1.0,0.9,0.867,13.5,56.4
135.0,10,1.29,93.501,18.0,11,83.0,4.92,82.0,0.1,1258.422,16766899.0,6.7,6.5,0.589,10.1,44.6
274.0,27,1.51,0.328,18.0,36,62.0,5.87,59.0,2.1,3.686,12152354.0,11.6,11.9,0.401,7.2,12.1
193.0,0,1.09,19.749,89.0,0,94.0,5.97,89.0,0.1,125.792,54477.0,1.2,1.2,0.489,9.2,44.7
78.0,0,9.08,372.685,95.0,0,99.0,9.76,99.0,0.1,2971.973,111717.0,0.8,0.7,0.857,16.2,63.1
22.0,0,11.0,561.917,94.0,0,97.0,6.4,95.0,0.1,4146.988,344367.0,3.3,3.3,0.77,15.3,57.5
227.0,31,0.14,146.761,56.0,38,74.0,3.69,57.0,0.1,3129.225,2839433.0,5.4,5.1,0.636,10.2,53.8
285.0,10,0.88,23.407,66.0,13,69.0,4.94,72.0,1.0,177.867,7269348.0,1.3,1.3,0.494,9.9,45.7
181.0,0,7.22,51.252,94.0,0,94.0,5.9,94.0,0.1,447.228,36165.0,3.5,3.4,0.699,12.8,45.7
134.0,0,0.01,564.817,64.0,0,65.0,5.2,64.0,0.1,3148.365,25885.0,1.5,1.4,0.596,10.8,52.5
276.0,2,8.3,805.393,82.0,3,45.0,3.13,82.0,3.2,8787.614,1756817.0,6.3,6.2,0.669,12.5,34.6
142.0,1,2.9,32.756,55.0,1,96.0,6.25,93.0,0.1,622.743,369588.0,2.1,2.2,0.639,11.2,47.1
121.0,1,6.9,119.212,87.0,1,91.0,7.5,87.0,0.1,927.723,377782.0,2.0,1.9,0.758,12.9,54.9
362.0,64,10.03,116.203,18.0,87,79.0,11.2,45.0,3.2,594.997,17153357.0,6.0,6.0,0.473,10.9,16.3
97.0,0,12.39,1109.855,96.0,0,96.0,7.83,96.0,0.1,8787.614,4255689.0,1.5,1.5,0.817,14.9,62.5
386.0,64,3.53,8.867,73.0,87,45.0,4.71,45.0,2.5,141.868,17153357.0,1.2,1.1,0.415,6.4,17.2
138.0,2,9.58,1078.358,96.0,2,92.0,5.48,91.0,0.1,8558.398,25835.0,2.8,3.0,0.797,15.3,58.4
98.0,0,5.13,66.046,88.0,0,92.0,8.58,91.0,0.1,575.317,3763599.0,2.8,2.7,0.71,13.1,52.1
92.0,0,12.4,1109.855,44.0,0,83.0,1.12,84.0,0.1,8787.614,842293.0,1.7,1.9,0.837,15.5,5.6
177.0,13,6.26,321.195,96.0,15,98.0,3.55,98.0,0.5,2893.651,6542547.0,8.9,9.1,0.682,12.0,22.6
47.0,64,0.94,40.806,76.0,87,73.0,6.23,76.0,3.2,526.531,249395.0,3.7,3.6,0.397,9.5,2.9
151.0,0,1.8,423.295,18.0,0,91.0,4.87,45.0,0.1,2284.379,146.0,0.1,0.1,0.693,14.6,68.6
188.0,0,6.64,605.629,95.0,0,95.0,5.61,95.0,0.5,4516.247,329192.0,3.5,3.4,0.7,12.4,47.8
21.0,31,0.2,45.88,69.0,41,91.0,5.7,89.0,0.2,348.631,2594618.0,16.1,16.7,0.476,9.6,14.4
19.0,0,0.01,50.539,99.0,0,99.0,4.49,99.0,0.1,546.373,88586.0,4.0,3.7,0.727,15.2,61.9
21.0,0,4.13,11.136,98.0,0,99.0,6.65,98.0,0.9,199.571,17813.0,6.3,6.2,0.533,10.1,26.2
86.0,0,5.14,412.443,99.0,1,99.0,5.59,99.0,0.1,4247.614,2941.0,1.3,1.4,0.752,14.2,55.8
144.0,15,4.38,531.981,93.0,18,93.0,5.82,93.0,0.1,3386.256,17153357.0,2.4,2.1,0.658,11.1,5.5
82.0,1,9.95,1109.855,18.0,1,97.0,7.79,97.0,0.1,8787.614,164618.0,1.1,1.1,0.878,16.7,52.6
297.0,22,0.01,41.252,95.0,32,95.0,7.54,95.0,0.7,312.749,989179.0,7.4,7.3,0.404,10.6,18.2
25.0,27,0.29,5.397,54.0,50,49.0,4.63,52.0,0.5,473.453,988452.0,12.3,12.3,0.378,5.2,17.5
23.0,1,0.01,73.866,88.0,2,87.0,6.75,87.0,0.8,852.954,759385.0,6.8,6.6,0.497,11.1,23.7
178.0,4,9.62,37.823,99.0,5,98.0,4.57,98.0,0.1,2124.874,2173496.0,3.7,4.1,0.714,12.0,52.4
116.0,20,0.62,188.29,98.0,23,99.0,5.67,99.0,0.1,2861.554,17153357.0,6.4,6.2,0.596,10.5,52.7
112.0,21,0.53,544.451,95.0,24,95.0,7.12,95.0,0.1,5471.867,17153357.0,5.9,5.8,0.737,14.4,57.2
75.0,0,12.66,1109.855,46.0,0,93.0,8.64,93.0,0.1,8787.614,4489544.0,0.3,0.2,0.908,17.9,57.4
166.0,1,3.48,155.588,36.0,1,99.0,4.56,96.0,2.3,3465.222,2712511.0,1.9,1.8,0.694,11.9,44.5
312.0,1,0.17,93.359,98.0,1,98.0,6.91,92.0,0.1,765.863,573416.0,16.1,16.7,0.27,7.3,13.9
337.0,35,0.21,21.338,57.0,56,56.0,3.76,53.0,3.0,322.811,9137345.0,9.9,9.9,0.329,5.5,17.3
273.0,25,1.71,27.69,18.0,33,59.0,5.7,45.0,2.2,321.226,1242473.0,11.6,11.8,0.412,7.6,12.4
127.0,0,0.01,261.291,93.0,0,94.0,6.48,94.0,0.1,1929.775,1317997.0,1.9,1.9,0.856,16.5,59.0
128.0,3,0.53,110.678,96.0,4,97.0,4.2,97.0,0.1,1882.278,2976724.0,7.8,7.6,0.779,12.9,38.5
86.0,3,11.83,1109.855,88.0,3,96.0,1.37,96.0,0.1,8787.614,8251626.0,1.1,1.1,0.877,16.4,57.1
154.0,0,0.01,915.186,98.0,0,98.0,4.76,98.0,0.1,8787.614,1255882.0,7.1,7.0,0.756,14.3,31.8
65.0,2,8.1,102.19,55.0,2,91.0,1.45,91.0,0.1,544.434,17153357.0,0.5,0.5,0.912,15.9,66.4
296.0,2,8.87,218.173,28.0,3,45.0,2.89,45.0,3.2,4116.467,1231122.0,8.0,7.8,0.637,12.2,28.1
194.0,0,14.09,91.71,97.0,1,98.0,5.1,98.0,0.1,694.244,9464495.0,2.0,2.1,0.793,15.6,6.5
446.0,17,1.67,43.484,45.0,24,46.0,3.9,45.0,3.2,446.443,4448525.0,9.0,8.9,0.352,6.6,2.2
134.0,1,3.03,7.341,93.0,1,96.0,5.56,94.0,0.1,93.166,31786.0,2.0,2.1,0.657,10.8,48.1
365.0,64,7.8,191.654,77.0,87,81.0,3.39,77.0,2.5,3529.535,17153357.0,9.1,9.0,0.488,9.0,2.4
126.0,0,13.15,650.957,95.0,0,94.0,7.16,94.0,0.1,5245.421,444.0,2.0,2.0,0.749,12.3,55.2
262.0,1,12.23,145.423,99.0,1,99.0,6.47,99.0,0.1,1479.383,9865548.0,2.5,2.7,0.687,13.6,55.3
322.0,20,11.32,333.215,94.0,22,97.0,5.61,96.0,0.4,2975.133,17153357.0,2.6,2.8,0.733,13.2,54.7
214.0,54,4.52,31.272,67.0,68,77.0,4.71,67.0,0.1,2842.938,112249.0,1.0,9.7,0.676,11.7,24.8
177.0,0,4.6,336.321,88.0,0,88.0,3.78,88.0,0.1,3861.324,1186873.0,8.1,8.1,0.667,12.1,25.3
12.0,3,1.46,420.115,99.0,4,99.0,5.64,99.0,0.1,3371.712,1196136.0,6.3,6.3,0.689,14.2,53.1
157.0,6,6.05,587.883,18.0,8,85.0,4.41,82.0,1.2,4952.678,9767758.0,3.4,3.3,0.695,12.9,52.6
184.0,0,6.48,387.332,98.0,0,98.0,4.4,98.0,0.6,4187.378,29747.0,3.6,3.5,0.692,12.3,44.4
218.0,0,7.13,291.017,95.0,0,96.0,6.0,96.0,0.1,3352.731,236755.0,2.8,2.8,0.716,13.7,55.4
418.0,26,3.78,54.666,89.0,38,88.0,11.79,89.0,1.3,445.525,6611692.0,8.1,8.0,0.392,8.9,22.2
165.0,5,3.02,188.25,93.0,7,94.0,7.89,94.0,1.2,1217.658,724153.0,2.6,2.5,0.571,10.4,42.0
433.0,28,3.97,49.837,84.0,42,81.0,11.79,84.0,1.7,394.593,63126.0,8.5,8.4,0.375,8.5,21.2
194.0,2,2.68,53.959,98.0,3,98.0,6.21,98.0,0.3,357.348,61131.0,1.8,1.7,0.659,13.4,51.4
72.0,2,8.4,864.95,42.0,2,89.0,11.17,91.0,0.1,4773.454,17153357.0,0.5,0.4,0.898,15.9,63.6
48.0,64,9.58,15.831,18.0,87,45.0,3.25,45.0,3.2,351.8,17153357.0,14.1,14.1,0.27,8.0,17.3
135.0,0,0.01,447.546,64.0,0,65.0,3.92,64.0,0.1,3167.344,253142.0,1.5,1.4,0.591,10.8,51.7
334.0,33,0.34,18.93,57.0,53,65.0,3.14,45.0,2.8,386.329,949229.0,9.5,9.5,0.325,5.1,18.1
183.0,24,1.59,34.419,99.0,29,99.0,5.11,99.0,0.3,465.12,2586435.0,3.2,3.2,0.613,11.6,37.0
125.0,4,0.54,32.525,95.0,4,95.0,9.5,95.0,0.1,261.457,5535595.0,3.9,3.8,0.723,13.5,57.0
221.0,0,1.93,20.712,98.0,0,92.0,3.28,91.0,0.1,238.892,814218.0,4.3,4.0,0.683,13.2,51.2
93.0,1,1.57,835.063,81.0,1,75.0,7.12,81.0,0.1,8734.965,4588368.0,4.7,4.7,0.758,13.2,64.0
491.0,2,5.37,250.892,86.0,4,97.0,4.64,97.0,3.2,3349.688,172834.0,12.3,12.2,0.559,11.7,29.9
214.0,64,1.2,27.338,18.0,87,58.0,4.22,63.0,0.3,621.318,17153357.0,16.1,16.7,0.518,9.2,13.0
32.0,11,4.05,15.799,64.0,15,66.0,1.9,45.0,3.0,178.928,3375838.0,8.1,8.1,0.377,10.0,22.4
12.0,2,11.63,23.435,96.0,2,95.0,6.4,99.0,0.1,1378.549,384196.0,2.0,2.1,0.838,15.4,6.4
155.0,0,3.49,122.574,18.0,0,45.0,4.81,45.0,0.8,1239.378,43579.0,9.6,9.5,0.27,11.3,21.5
262.0,2,0.25,77.028,69.0,2,69.0,4.57,69.0,0.1,648.387,626425.0,7.4,7.3,0.451,9.9,19.6
347.0,64,10.22,94.497,82.0,87,82.0,9.9,82.0,3.2,584.396,3593648.0,5.9,5.9,0.477,10.7,16.7
64.0,1,9.33,1035.621,18.0,1,97.0,1.48,97.0,0.1,5338.255,16615394.0,1.0,0.9,0.906,17.0,59.3
14.0,0,4.19,240.14,91.0,0,94.0,5.6,93.0,0.8,1976.459,467664.0,8.7,8.7,0.574,11.1,23.7
241.0,2,0.12,59.66,83.0,2,85.0,6.1,83.0,0.2,829.759,76569.0,7.0,6.8,0.479,10.6,22.1
257.0,39,0.01,151.899,92.0,56,91.0,4.79,92.0,0.9,1629.822,2573349.0,6.7,6.6,0.563,11.2,26.7
49.0,16,1.51,30.784,42.0,25,45.0,4.24,45.0,3.2,243.543,3754986.0,1.5,1.5,0.312,5.2,16.5
189.0,0,14.09,1109.855,95.0,0,95.0,5.16,95.0,0.1,8787.614,13468.0,2.0,2.1,0.829,16.1,56.3
158.0,0,1.24,40.491,93.0,0,91.0,4.75,91.0,0.1,263.272,9882.0,0.1,0.1,0.676,13.7,65.5
197.0,0,6.2,325.681,97.0,0,97.0,4.39,97.0,0.8,3831.538,27689.0,3.6,3.5,0.691,12.5,43.2
35.0,19,6.22,60.778,68.0,27,52.0,5.63,45.0,3.2,413.738,8692567.0,4.7,4.7,0.443,7.9,34.8
298.0,2,8.75,11.054,82.0,3,81.0,2.54,82.0,3.2,194.275,1536411.0,6.8,6.6,0.651,12.4,32.4
125.0,8,5.38,946.652,88.0,11,71.0,5.23,88.0,0.1,6583.116,3565716.0,1.1,1.1,0.731,13.4,54.2
155.0,10,6.07,748.445,98.0,11,99.0,4.12,99.0,0.2,5491.16,675313.0,8.1,8.2,0.72,13.3,29.0
219.0,55,4.61,24.59,89.0,69,84.0,4.56,89.0,0.1,276.289,9848132.0,1.0,9.7,0.671,11.7,24.3
191.0,0,5.53,78.722,76.0,1,91.0,5.13,91.0,0.5,884.519,128452.0,6.4,6.9,0.729,12.0,36.0
387.0,24,5.84,6.545,83.0,38,75.0,5.25,82.0,3.2,112.849,6953113.0,8.5,8.5,0.276,4.7,13.5
185.0,64,0.08,211.878,81.0,87,81.0,2.71,81.0,0.3,3634.277,17153357.0,1.6,1.5,0.662,12.3,23.8
116.0,0,12.06,1109.855,97.0,0,96.0,7.7,96.0,0.1,8787.614,443458.0,1.7,1.7,0.8,14.3,59.4
36.0,3,7.99,575.675,83.0,4,83.0,8.5,83.0,3.2,4153.498,21374.0,1.9,1.9,0.598,11.4,31.0
491.0,28,4.14,8.717,65.0,43,69.0,6.44,68.0,3.2,444.766,129432.0,9.0,9.0,0.406,9.3,27.5
394.0,46,0.45,49.092,18.0,80,45.0,2.92,45.0,3.2,929.772,11133861.0,9.8,9.7,0.338,6.0,16.4
491.0,64,10.47,22.594,29.0,87,55.0,6.77,52.0,3.2,257.634,2439274.0,7.0,7.0,0.382,9.8,13.0
77.0,0,11.3,1109.855,83.0,0,83.0,11.19,83.0,0.1,8787.614,8343323.0,1.7,1.9,0.87,15.3,54.7
154.0,7,0.55,42.415,51.0,8,79.0,6.56,77.0,0.1,883.644,82341.0,3.0,3.0,0.659,10.8,43.6
173.0,2,0.05,11.758,79.0,3,45.0,0.37,45.0,0.1,524.896,164973.0,11.8,11.8,0.541,11.3,14.2
229.0,0,7.56,536.233,93.0,1,93.0,6.8,93.0,0.4,3439.598,7491.0,5.6,5.3,0.624,10.3,43.2
82.0,2,7.6,1109.855,18.0,2,88.0,8.67,89.0,0.1,8787.614,37697.0,0.5,0.5,0.864,15.9,57.8
411.0,25,0.01,54.56,91.0,35,91.0,11.24,91.0,0.9,561.898,676613.0,7.9,7.8,0.401,9.1,22.7
81.0,0,9.46,1109.855,92.0,1,93.0,8.61,94.0,0.1,8787.614,19287.0,0.8,0.8,0.823,15.2,59.2
235.0,6,2.4,34.24,96.0,8,96.0,1.93,96.0,0.1,394.468,4935762.0,3.2,3.3,0.27,10.5,42.7
267.0,5,6.79,180.354,98.0,6,99.0,6.61,99.0,1.0,1367.352,474516.0,2.7,2.8,0.7,14.6,56.1
254.0,1,0.73,145.597,95.0,1,95.0,5.28,95.0,0.3,1247.614,656639.0,16.1,16.7,0.27,9.2,16.7
193.0,64,3.0,64.606,44.0,87,79.0,4.33,82.0,0.2,1461.672,17153357.0,16.1,16.7,0.58,10.8,16.4
158.0,64,0.01,4.115,18.0,87,88.0,2.62,99.0,0.1,46.758,14137489.0,2.1,2.7,0.491,8.1,12.0
155.0,3,5.39,30.935,85.0,3,81.0,9.14,85.0,0.1,2599.596,6127837.0,2.1,2.0,0.663,12.1,45.6
72.0,1,9.69,1109.855,18.0,1,96.0,9.6,96.0,0.1,8787.614,16319868.0,1.0,1.0,0.888,16.4,55.8
491.0,5,2.95,3.535,18.0,7,84.0,6.91,84.0,3.2,47.894,192312.0,1.6,1.6,0.446,10.4,25.9
491.0,3,6.72,143.62,86.0,4,87.0,5.11,84.0,3.2,1437.635,172927.0,9.0,9.2,0.506,9.3,26.3
77.0,1,9.56,1109.855,18.0,1,98.0,8.52,98.0,0.1,8787.614,16281779.0,1.0,1.0,0.885,16.5,55.0
216.0,64,1.19,19.481,18.0,87,57.0,4.3,61.0,0.3,541.135,11827848.0,16.1,16.7,0.505,8.6,12.6
338.0,34,0.18,2.395,57.0,55,61.0,3.45,57.0,2.9,37.193,939848.0,9.7,9.7,0.338,5.9,17.7
48.0,64,1.19,49.91,76.0,87,73.0,5.58,76.0,3.2,566.514,2567666.0,3.6,3.5,0.4,9.2,21.3
3.0,18,6.64,44.257,68.0,25,56.0,5.32,53.0,3.2,329.783,8976552.0,4.5,4.6,0.447,8.1,36.5
491.0,5,1.99,5.301,18.0,7,45.0,7.13,45.0,3.2,63.636,191897.0,1.2,1.1,0.44,10.5,26.4
293.0,64,0.02,15.296,67.0,87,45.0,8.79,45.0,0.1,219.141,17153357.0,16.1,16.7,0.381,6.8,13.8
196.0,0,4.94,815.436,84.0,0,85.0,5.92,85.0,1.2,6858.163,515148.0,3.5,3.4,0.691,11.9,53.3
67.0,29,3.88,29.815,72.0,46,73.0,4.47,73.0,3.2,396.998,1332999.0,8.2,8.2,0.414,9.6,28.2
338.0,49,4.53,3.196,76.0,87,69.0,5.26,69.0,3.2,26.764,122931.0,11.0,1.6,0.27,4.4,12.9
35.0,23,4.33,15.994,92.0,35,89.0,7.86,92.0,2.9,196.247,8212264.0,7.9,7.9,0.319,7.9,15.2
32.0,2,6.47,352.232,28.0,3,45.0,3.48,45.0,3.2,4892.116,1328146.0,7.5,7.4,0.638,12.3,29.8
295.0,8,7.08,76.199,99.0,9,99.0,3.73,99.0,0.1,5291.576,153884.0,2.4,2.5,0.747,14.3,46.8
28.0,17,6.18,6.996,68.0,23,61.0,5.7,45.0,3.2,55.476,949457.0,4.3,4.3,0.455,8.3,39.6
16.0,9,0.65,35.095,18.0,11,75.0,4.67,76.0,0.1,655.974,8486.0,3.2,3.1,0.636,10.1,42.1
217.0,8,0.02,61.763,74.0,12,73.0,3.23,74.0,1.3,1167.536,347541.0,9.2,8.9,0.475,7.2,26.1
253.0,19,1.38,8.386,18.0,24,86.0,6.43,85.0,1.7,48.615,1363377.0,11.6,11.7,0.458,9.7,13.5
98.0,0,13.14,1109.855,77.0,0,99.0,7.48,99.0,0.1,8787.614,4363.0,1.0,1.0,0.848,13.5,54.0
166.0,4,6.64,155.423,86.0,4,86.0,5.99,86.0,0.1,1174.779,56795.0,2.4,2.3,0.642,12.7,41.3
71.0,1,2.32,1109.855,98.0,1,93.0,7.44,93.0,0.1,8787.614,66897.0,1.1,1.1,0.863,16.0,59.6
245.0,6,2.71,29.272,98.0,8,98.0,2.9,98.0,0.1,2136.668,48115.0,3.3,3.3,0.27,10.4,41.3
33.0,19,6.1,50.286,68.0,26,54.0,5.47,48.0,3.2,393.163,8834733.0,4.6,4.7,0.444,8.0,35.6
189.0,64,0.01,1.767,63.0,87,68.0,2.61,65.0,0.1,51.657,14161437.0,16.1,16.7,0.45,5.4,16.9
28.0,14,2.35,41.508,87.0,18,87.0,6.79,87.0,0.4,277.834,139628.0,1.4,1.4,0.567,9.6,43.8
42.0,13,4.21,9.758,64.0,18,49.0,3.44,45.0,3.2,133.495,3116233.0,8.7,8.7,0.373,10.3,21.1
184.0,0,9.85,1109.855,92.0,0,94.0,6.84,94.0,0.1,8787.614,2141669.0,2.3,2.3,0.821,16.4,58.5
78.0,0,10.08,664.474,98.0,1,99.0,1.54,99.0,0.1,4474.572,11128246.0,0.9,0.9,0.886,16.2,62.6
138.0,1,3.55,396.627,94.0,1,94.0,5.3,94.0,0.5,4682.728,281721.0,1.8,1.7,0.721,12.7,5.5
132.0,1,7.24,194.173,95.0,1,88.0,1.5,92.0,0.1,2964.477,3926.0,2.6,2.8,0.738,13.3,52.0
151.0,8,3.54,18.093,92.0,9,89.0,5.87,92.0,0.3,321.943,13735233.0,1.4,1.3,0.688,12.8,47.2
314.0,11,0.58,158.002,18.0,15,59.0,8.39,62.0,1.5,637.362,6161517.0,1.5,1.4,0.439,7.6,4.4
214.0,0,2.02,64.392,99.0,0,97.0,3.61,96.0,0.1,3658.638,821817.0,4.1,3.8,0.699,13.9,55.1
285.0,25,1.13,7.107,18.0,39,73.0,4.73,45.0,2.1,61.8,7982225.0,8.7,8.6,0.43,8.5,2.5
371.0,43,7.34,978.591,18.0,54,73.0,8.78,73.0,3.2,6876.954,17153357.0,5.4,6.5,0.652,12.8,49.5
131.0,3,0.47,431.545,96.0,4,97.0,3.97,97.0,0.1,7326.744,2765383.0,8.3,8.2,0.756,12.6,34.4
99.0,64,2.92,171.66,84.0,87,87.0,4.66,87.0,0.1,1753.418,13372.0,5.0,4.4,0.634,10.6,24.1
69.0,1,9.84,588.568,95.0,1,92.0,8.57,92.0,0.1,3472.38,21274.0,0.7,0.6,0.908,18.6,6.9
145.0,4,1.96,120.247,98.0,5,98.0,4.6,98.0,0.1,1448.761,1952.0,15.4,15.5,0.718,13.1,17.2
331.0,11,0.68,93.373,59.0,14,52.0,6.68,55.0,1.3,539.415,5716152.0,1.5,1.5,0.422,6.6,38.2
247.0,1,12.98,24.249,18.0,1,99.0,6.13,99.0,0.1,1276.288,997961.0,2.7,2.8,0.675,13.1,54.4
15.0,13,4.34,941.646,92.0,15,92.0,7.1,92.0,0.1,5148.422,17153357.0,2.2,2.0,0.691,12.4,53.5
68.0,1,9.53,1109.855,18.0,1,97.0,9.36,97.0,0.1,8787.614,16381696.0,1.0,1.0,0.899,16.6,57.3
65.0,0,13.03,1109.855,88.0,0,98.0,6.42,98.0,0.1,8787.614,1141.0,0.9,1.0,0.823,13.4,54.8
235.0,1,0.01,257.84,99.0,2,99.0,4.45,99.0,0.1,3769.595,2761516.0,2.2,2.3,0.701,14.6,48.0
34.0,41,1.46,53.238,18.0,62,81.0,3.96,45.0,3.2,423.194,2986536.0,8.4,8.3,0.491,7.7,21.8
156.0,0,0.01,1109.855,92.0,0,92.0,5.88,92.0,0.1,8787.614,1993782.0,2.2,2.2,0.822,16.0,6.7
278.0,5,7.31,217.435,97.0,6,95.0,6.41,96.0,0.9,1828.718,471515.0,2.7,2.8,0.707,14.5,56.4
232.0,3,0.01,796.873,84.0,4,84.0,8.24,84.0,3.2,5749.448,2263934.0,9.5,9.4,0.619,11.5,33.3
99.0,1,4.22,1109.855,89.0,1,89.0,9.1,45.0,0.1,6911.136,442958.0,1.9,1.8,0.74,12.9,53.4
212.0,0,0.76,18.195,88.0,0,86.0,1.93,86.0,0.1,1151.556,9426.0,0.2,0.1,0.576,12.1,72.8
181.0,0,7.24,69.631,96.0,0,97.0,4.76,96.0,0.6,4324.876,29847.0,3.5,3.5,0.7,12.8,45.0
89.0,2,7.93,177.493,92.0,2,92.0,6.97,92.0,0.1,1286.178,16993354.0,0.8,0.9,0.815,15.2,6.6
261.0,64,1.34,67.734,62.0,87,69.0,6.86,61.0,1.7,341.4,877267.0,11.0,1.7,0.401,8.1,15.6
159.0,3,5.61,318.62,86.0,4,95.0,6.41,95.0,0.1,2312.193,5966159.0,2.2,2.1,0.649,12.0,44.2
438.0,2,5.2,735.709,91.0,3,85.0,8.61,91.0,3.2,3934.273,1225258.0,5.1,5.2,0.526,11.2,3.2
15.0,1,2.19,527.918,74.0,1,74.0,9.3,74.0,0.1,5425.67,371464.0,4.8,4.7,0.27,14.8,59.7
48.0,43,7.38,1089.955,68.0,56,65.0,8.79,65.0,3.2,7548.164,5256515.8,6.0,7.3,0.644,12.8,48.7
138.0,1,3.65,37.171,96.0,1,96.0,5.66,96.0,0.5,521.334,284992.0,1.8,1.7,0.725,12.8,52.0
328.0,22,6.88,78.47,99.0,34,99.0,1.2,99.0,3.2,342.366,92658.0,6.8,6.8,0.404,9.3,15.9
77.0,3,9.78,31.506,94.0,3,97.0,7.91,87.0,0.1,251.243,5694218.0,0.5,0.5,0.823,14.8,55.0
93.0,1,1.53,151.153,81.0,1,75.0,6.99,81.0,0.1,8787.614,491644.0,4.8,4.8,0.763,13.3,64.4
275.0,41,1.78,161.011,93.0,61,92.0,4.85,93.0,2.2,1224.416,2329864.0,7.5,7.4,0.53,9.8,24.2
164.0,64,0.01,0.397,18.0,87,83.0,2.59,83.0,0.1,4.614,1366667.0,2.5,16.7,0.476,7.7,11.2
261.0,15,11.21,137.006,98.0,18,98.0,7.44,98.0,0.3,8562.896,17153357.0,2.3,2.5,0.776,14.0,57.0
141.0,3,3.03,20.833,99.0,4,99.0,3.28,99.0,0.1,322.993,2271.0,15.3,15.3,0.746,13.6,2.5
144.0,14,4.66,780.595,93.0,17,93.0,6.25,93.0,0.1,4674.22,17153357.0,2.3,2.1,0.675,11.9,52.0
