Adult Mortality,Alcohol,percentage expenditure,BMI,Polio,Diphtheria,HIV/AIDS,GDP,thinness 10-19 years,Income composition of resources,Schooling,Economic_health_index,Health_expenditure_ratio,Mortality_rate_ratio
95.0,0.01,113.2,64.5,99.0,99.0,0.1,0.166,3.2,0.786,14.0,11.004,21.8,95.0
28.0,0.01,8.88,29.4,8.0,8.0,1.1,0.014,8.1,0.501,8.2,4.108,251.852,2.333
193.0,3.51,22.356,43.5,89.0,87.0,0.4,0.014,2.2,0.57,10.4,5.928,369.833,38.6
238.0,0.04,0.0,35.7,78.0,78.0,0.1,0.174,13.8,0.48,8.5,4.08,29.386,5.064
268.0,0.93,37.129,15.0,65.0,66.0,0.7,0.032,8.3,0.457,8.5,3.884,152.392,4.467
269.0,0.01,0.0,25.4,98.0,98.0,1.4,0.174,7.8,0.44,8.8,3.872,35.126,53.8
161.0,5.61,26.181,43.5,98.0,98.0,0.2,0.019,2.2,0.648,12.1,7.841,341.402,40.25
437.0,2.69,0.0,23.8,58.0,74.0,4.1,0.174,6.6,0.675,12.3,8.302,35.642,5.141
114.0,13.19,0.0,61.3,96.0,97.0,0.1,0.174,2.1,0.675,12.3,8.302,39.775,11.024000000000001
172.0,2.88,42.124,72.0,45.0,49.0,0.1,0.033,0.2,0.691,12.9,8.914,161.688,11.024000000000001
255.0,3.65,0.0,18.6,95.0,95.0,0.4,0.174,8.4,0.418,5.0,2.09,32.888,36.429
388.0,1.76,52.604,16.9,77.0,8.0,10.3,0.07,8.5,0.483,9.7,4.685,60.822,3.731
84.0,8.48,122.182,57.4,89.0,89.0,0.1,0.124,0.9,0.794,13.9,11.037,61.128,84.0
461.0,3.45,0.0,19.4,66.0,65.0,7.1,0.174,8.1,0.675,12.3,8.302,34.437,4.853
134.0,2.86,57.178,47.8,96.0,94.0,0.1,0.078,2.1,0.645,10.8,6.966,68.978,134.0
129.0,0.54,259.157,55.5,95.0,95.0,0.1,0.181,3.9,0.712,13.0,9.256,53.376,32.25
497.0,6.96,622.044,42.9,73.0,74.0,29.7,0.487,12.6,0.611,12.9,7.882,16.284,5.988
174.0,0.01,0.0,43.0,97.0,97.0,0.1,0.174,3.3,0.647,12.5,8.088,38.34,43.5
22.0,3.65,0.0,2.5,71.0,69.0,0.3,0.004,7.1,0.511,10.3,5.263,1423.89,0.579
256.0,3.65,0.0,37.9,96.0,95.0,2.2,0.654,6.4,0.698,12.6,8.795,8.759,128.0
278.0,0.11,3.752,15.4,46.0,45.0,1.6,0.002,11.9,0.278,3.5,0.973,3011.654,2.439
86.0,11.85,0.0,59.5,91.0,91.0,0.1,0.174,0.7,0.675,12.3,8.302,44.826,21.5
76.0,1.16,37.768,66.0,98.0,97.0,0.1,0.074,5.0,0.825,12.0,9.9,39.416,11.024000000000001
161.0,3.35,0.0,29.7,98.0,93.0,0.1,0.174,5.3,0.675,12.3,8.302,32.888,14.636
185.0,0.01,24.235,17.9,69.0,67.0,0.1,0.056,21.6,0.465,5.6,2.604,46.373,0.397
68.0,9.33,0.0,3.8,99.0,99.0,0.1,0.174,1.5,0.675,12.3,8.302,41.325,34.0
119.0,11.58,203.325,52.9,95.0,95.0,0.1,0.149,2.0,0.843,16.1,13.572,58.89,11.024000000000001
251.0,0.34,6.064,17.9,49.0,52.0,0.6,0.048,12.1,0.381,5.4,2.057,103.666,5.122
113.0,0.57,88.45,5.6,97.0,99.0,0.1,0.159,7.0,0.753,11.5,8.66,15.321,113.0
136.0,2.86,0.0,1.9,96.0,96.0,0.2,0.174,15.4,0.601,11.0,6.611,33.863,3.778
161.0,10.39,508.63,6.3,96.0,95.0,0.1,0.452,2.2,0.75,13.5,10.125,14.76,161.0
262.0,3.65,0.0,27.3,96.0,97.0,1.7,0.174,7.3,0.45,8.9,4.005,32.888,52.4
218.0,7.13,291.017,55.4,96.0,96.0,0.1,0.336,2.8,0.716,13.7,9.809,17.876,11.024000000000001
428.0,1.51,0.682,14.4,8.0,82.0,18.1,0.004,9.2,0.448,8.4,3.763,1104.621,3.537
166.0,3.65,0.0,44.9,97.0,97.0,0.1,0.174,3.3,0.662,13.0,8.606,32.888,55.333
293.0,4.58,73.927,15.1,93.0,89.0,1.7,0.047,9.8,0.334,4.9,1.637,139.813,3.53
378.0,9.63,87.045,15.9,78.0,79.0,8.1,0.065,6.1,0.464,10.8,5.011,130.384,3.048
96.0,3.88,312.662,25.7,94.0,93.0,0.1,0.27,4.7,0.659,11.4,7.513,16.011,0.289
263.0,0.52,217.213,33.2,81.0,81.0,1.9,0.154,5.6,0.46,6.3,2.898,58.231,131.5
78.0,10.08,664.474,62.6,99.0,99.0,0.1,0.448,0.9,0.886,16.2,14.353,3.437,78.0
183.0,2.83,140.691,41.4,99.0,99.0,0.1,0.157,3.0,0.664,12.0,7.968,36.083,8.318
234.0,5.0,0.0,16.1,46.0,5.0,0.2,0.174,9.7,0.509,9.0,4.581,23.762,15.6
126.0,0.46,43.087,51.8,92.0,93.0,0.1,0.049,6.0,0.697,12.6,8.782,84.955,5.478
161.0,9.19,0.0,61.3,97.0,99.0,0.2,0.174,2.5,0.788,12.6,9.929,42.702,11.024000000000001
288.0,1.7,129.026,23.0,84.0,84.0,2.9,0.092,7.9,0.51,8.7,4.437,50.284,4.645
412.0,4.64,67.639,22.3,72.0,73.0,7.7,0.082,7.2,0.452,8.1,3.661,60.277,4.337
34.0,0.01,0.0,2.7,4.0,4.0,0.9,0.174,7.3,0.675,12.3,8.302,32.888,0.405
214.0,1.2,27.338,13.0,58.0,63.0,0.3,0.062,27.2,0.518,9.2,4.766,67.993,0.102
132.0,0.36,270.24,49.8,95.0,95.0,0.1,0.347,6.1,0.686,12.3,8.438,9.687,5.739
143.0,4.44,1487.897,55.7,91.0,91.0,0.1,0.79,2.1,0.707,13.2,9.332,8.776,11.0
71.0,11.18,839.913,6.9,94.0,95.0,0.1,0.447,1.1,0.916,16.9,15.48,4.451,23.667
3.0,2.84,6.699,17.4,52.0,49.0,3.1,0.03,1.2,0.0,6.4,0.0,166.58,0.333
361.0,4.5,21.249,14.5,88.0,92.0,3.8,0.016,8.1,0.29,5.9,1.711,698.623,10.028
161.0,3.65,0.0,25.4,72.0,72.0,0.1,0.143,19.2,0.548,8.1,4.439,40.017,0.372
197.0,6.2,325.681,43.2,97.0,97.0,0.8,0.384,3.6,0.691,12.5,8.638,11.444,11.024000000000001
348.0,4.04,0.0,21.3,88.0,9.0,3.1,0.174,7.0,0.675,12.3,8.302,32.83,2.719
118.0,6.67,1871.737,6.7,95.0,95.0,0.1,0.943,1.5,0.774,15.5,11.997,9.312,118.0
144.0,3.52,19.14,47.9,92.0,96.0,0.3,0.033,1.4,0.693,12.8,8.87,175.108,16.0
288.0,3.65,0.0,18.7,94.0,94.0,0.7,0.003,7.3,0.406,10.6,4.304,1787.711,9.29
113.0,10.0,235.379,53.5,94.0,94.0,0.1,0.173,2.0,0.85,16.6,14.11,49.015,11.024000000000001
349.0,5.99,547.039,35.2,96.0,95.0,6.2,0.635,8.0,0.669,12.3,8.229,8.875,116.333
242.0,0.33,96.037,19.5,84.0,84.0,0.7,0.077,11.4,0.415,6.4,2.656,69.171,6.05
38.0,3.65,0.0,42.9,93.0,93.0,2.7,0.174,3.4,0.0,0.0,0.0,32.888,0.76
272.0,0.01,0.0,2.6,74.0,74.0,1.2,0.174,9.9,0.675,12.3,8.302,22.327,0.866
122.0,5.26,168.174,62.8,87.0,87.0,0.1,0.145,1.6,0.754,13.1,9.877,43.36,3.389
22.0,0.01,137.259,76.7,91.0,95.0,0.1,0.173,0.1,0.589,11.9,7.009,6.665,11.024000000000001
587.0,5.52,131.042,26.7,87.0,85.0,49.9,0.133,8.6,0.502,9.2,4.618,38.929,146.75
124.0,5.86,27.469,56.3,93.0,95.0,0.1,0.049,1.7,0.746,14.7,10.966,147.166,124.0
449.0,7.6,782.599,46.4,75.0,76.0,19.0,0.59,8.1,0.622,12.8,7.962,14.229,6.414
135.0,0.46,297.591,3.7,96.0,96.0,0.1,0.56,9.0,0.734,12.9,9.469,5.874,33.75
112.0,2.26,404.388,57.9,83.0,83.0,0.1,0.534,4.9,0.0,14.9,0.0,3.482,112.0
69.0,6.53,203.316,64.5,89.0,89.0,0.1,0.152,0.7,0.797,14.2,11.317,55.645,11.024000000000001
135.0,1.25,91.704,45.3,86.0,84.0,0.1,0.126,6.6,0.596,10.2,6.079,39.097,12.273
127.0,4.88,781.206,54.9,98.0,98.0,0.1,0.676,1.9,0.708,11.9,8.425,9.17,2.309
153.0,1.18,345.339,47.4,66.0,67.0,0.1,0.27,1.5,0.582,10.7,6.227,13.552,11.024000000000001
35.0,6.22,60.778,34.8,52.0,45.0,5.0,0.041,4.7,0.443,7.9,3.5,136.409,1.296
165.0,3.13,0.0,27.2,99.0,72.0,0.1,0.174,5.7,0.675,12.3,8.302,32.888,11.786
275.0,1.78,161.011,24.2,92.0,93.0,2.2,0.122,7.5,0.53,9.8,5.194,39.601,4.508
12.0,2.07,0.0,54.5,95.0,94.0,0.1,0.174,2.6,0.0,11.9,0.0,49.59,11.024000000000001
132.0,1.35,1.133,56.8,85.0,85.0,0.1,0.006,5.1,0.675,12.0,8.1,850.34,3.385
219.0,0.02,7.354,25.5,75.0,75.0,1.3,0.011,9.4,0.475,7.4,3.515,316.598,18.25
129.0,4.99,10.228,52.4,97.0,97.0,0.1,0.067,2.0,0.694,11.4,7.912,74.07,1.955
177.0,4.38,70.155,25.8,93.0,92.0,0.1,0.38,8.0,0.673,12.2,8.211,10.193,11.024000000000001
181.0,3.65,0.0,18.7,86.0,87.0,0.2,0.161,26.7,0.615,11.6,7.134,35.499,0.165
375.0,6.35,184.821,18.8,75.0,73.0,2.6,0.288,9.6,0.454,7.7,3.496,11.729,2.717
125.0,6.13,221.483,55.3,91.0,91.0,0.1,0.444,2.7,0.759,13.5,10.246,16.73,125.0
82.0,1.78,6.491,19.5,98.0,98.0,0.1,0.005,14.3,0.632,11.9,7.521,1295.242,11.024000000000001
127.0,0.92,116.259,47.6,83.0,8.0,0.1,0.158,6.5,0.624,11.0,6.864,26.04,12.7
126.0,4.86,13.311,53.2,97.0,97.0,0.1,0.073,1.9,0.7,11.6,8.12,73.198,2.032
96.0,3.42,386.138,58.5,95.0,95.0,0.1,0.157,1.7,0.762,13.7,10.439,60.297,96.0
32.0,6.47,352.232,29.8,44.0,45.0,11.0,0.49,7.5,0.638,12.3,7.847,7.104,10.667
211.0,0.28,11.052,19.1,9.0,9.0,0.6,0.074,13.1,0.504,8.5,4.284,33.724,3.058
176.0,6.5,144.985,43.0,91.0,9.0,0.4,0.196,5.9,0.774,12.6,9.752,28.637,11.024000000000001
225.0,12.27,0.0,47.9,98.0,98.0,0.1,0.174,3.2,0.675,12.3,8.302,48.729,225.0
188.0,6.35,103.371,38.4,89.0,92.0,0.6,0.15,6.2,0.751,12.3,9.237,29.999,11.024000000000001
152.0,3.81,150.743,22.1,91.0,9.0,0.8,0.127,9.4,0.562,11.0,6.182,40.89,11.024000000000001
221.0,7.52,48.029,42.4,95.0,95.0,0.4,0.033,5.6,0.618,10.2,6.304,202.996,221.0
121.0,6.17,709.131,57.8,95.0,95.0,0.1,0.734,2.1,0.774,14.2,10.991,8.356,11.024000000000001
145.0,0.01,78.281,79.3,9.0,9.0,0.1,0.355,0.2,0.675,0.0,0.0,46.838,11.024000000000001
165.0,9.82,431.325,53.4,97.0,97.0,0.1,0.356,3.4,0.733,12.9,9.456,15.265,41.25
198.0,8.44,52.425,6.1,72.0,76.0,0.2,0.043,2.3,0.744,15.2,11.309,178.899,39.6
295.0,2.09,0.0,18.2,64.0,65.0,1.8,0.174,1.8,0.675,12.3,8.302,25.598,0.91
138.0,0.01,472.305,56.0,98.0,98.0,0.1,0.818,5.5,0.748,15.7,11.744,3.312,46.0
129.0,3.65,0.0,56.2,91.0,94.0,0.1,0.377,2.7,0.768,13.9,10.675,15.203,129.0
82.0,11.61,0.0,61.3,92.0,92.0,0.1,0.174,0.7,0.675,12.3,8.302,47.982,20.5
51.0,8.13,7.048,59.3,95.0,95.0,0.1,0.004,0.9,0.894,18.6,16.628,1939.096,11.024000000000001
158.0,0.01,4.115,12.0,88.0,99.0,0.1,0.005,2.1,0.491,8.1,3.977,580.285,0.64
191.0,5.53,78.722,36.0,91.0,91.0,0.5,0.088,6.4,0.729,12.0,8.748,58.013,191.0
186.0,11.15,562.36,28.1,99.0,99.0,0.1,0.834,6.1,0.712,12.1,8.615,5.046,11.024000000000001
14.0,0.54,22.095,54.6,98.0,99.0,0.1,0.034,6.3,0.612,11.2,6.854,176.807,0.636
189.0,1.93,582.147,49.3,84.0,85.0,0.4,0.346,1.2,0.611,10.7,6.538,18.225,14.538
192.0,3.61,15.255,42.8,85.0,83.0,0.4,0.011,2.2,0.562,10.1,5.676,469.593,38.4
323.0,4.54,56.961,13.7,83.0,79.0,2.5,0.037,1.5,0.0,3.9,0.0,174.208,3.549
225.0,3.65,0.0,42.9,93.0,93.0,0.3,0.252,3.4,0.488,7.2,3.514,22.771,2.647
243.0,0.35,2.511,13.6,88.0,82.0,0.4,0.019,13.3,0.417,7.5,3.128,95.924,2.43
67.0,9.07,1040.278,66.9,93.0,93.0,0.1,0.446,0.4,0.91,19.2,17.472,25.343,11.024000000000001
134.0,0.01,564.817,52.5,65.0,64.0,0.1,0.315,1.5,0.596,10.8,6.437,16.498,11.024000000000001
376.0,9.05,14.568,21.6,66.0,63.0,4.9,0.02,11.7,0.487,9.3,4.529,215.996,0.452
259.0,5.68,26.379,46.5,67.0,67.0,0.8,0.077,3.9,0.477,8.9,4.245,128.912,12.95
53.0,10.16,4.427,13.9,57.0,59.0,9.4,0.024,6.7,0.418,11.5,4.807,318.541,0.306
74.0,3.65,0.0,6.1,95.0,95.0,0.1,0.273,1.4,0.888,17.3,15.362,20.969,11.024000000000001
426.0,2.92,0.0,24.4,77.0,81.0,3.7,0.174,6.5,0.675,12.3,8.302,36.79,5.071
83.0,3.65,0.0,59.7,98.0,98.0,0.1,0.174,8.5,0.774,14.8,11.455,32.888,3.952
68.0,8.2,971.928,64.7,87.0,87.0,0.1,0.529,0.5,0.903,15.9,14.358,3.441,34.0
299.0,1.52,0.0,17.8,72.0,7.0,1.9,0.174,11.1,0.675,12.3,8.302,20.72,0.917
237.0,1.86,8.313,16.8,7.0,72.0,0.9,0.005,1.6,0.427,8.4,3.587,1026.611,1.123
138.0,3.65,0.0,23.4,99.0,99.0,0.1,0.385,15.1,0.764,14.0,10.696,14.885,46.0
219.0,4.08,121.363,2.6,88.0,88.0,0.1,0.139,1.0,0.646,11.5,7.429,28.369,2.671
16.0,0.37,11.797,26.1,99.0,99.0,0.1,0.019,6.8,0.818,13.4,10.961,187.094,11.024000000000001
211.0,3.65,0.0,25.4,79.0,6.0,0.1,0.288,1.0,0.679,11.7,7.944,19.886,3.197
137.0,0.49,315.664,29.8,95.0,95.0,0.1,0.496,9.2,0.731,12.7,9.284,7.537,34.25
321.0,11.5,46.516,55.0,98.0,97.0,0.3,0.041,2.5,0.741,13.6,10.078,126.166,15.286
165.0,3.73,502.384,28.6,98.0,97.0,0.1,0.57,7.6,0.713,13.4,9.554,7.679,11.024000000000001
129.0,3.65,0.0,18.3,97.0,97.0,0.1,0.012,17.9,0.575,10.2,5.865,478.809,1.142
11.0,1.94,630.054,6.8,74.0,77.0,0.1,0.535,4.7,0.0,13.7,0.0,15.749,11.0
268.0,0.01,73.219,18.1,62.0,64.0,0.1,0.063,17.7,0.47,9.9,4.653,128.824,3.011
14.0,1.67,243.754,55.0,94.0,94.0,0.1,0.317,5.3,0.798,12.0,9.576,7.836,14.0
192.0,3.52,0.0,25.2,93.0,56.0,0.1,0.174,6.0,0.675,12.3,8.302,32.888,7.68
145.0,0.01,0.0,42.9,69.0,69.0,0.1,0.174,3.4,0.675,15.1,10.192,37.307,11.024000000000001
47.0,0.01,0.0,27.4,76.0,76.0,2.0,0.174,5.6,0.675,12.3,8.302,32.83,0.588
124.0,4.45,339.978,26.8,99.0,99.0,0.4,0.345,7.6,0.621,12.4,7.7,12.295,11.024000000000001
325.0,5.76,668.956,35.7,96.0,95.0,5.5,0.766,7.7,0.678,12.4,8.407,6.857,108.333
216.0,2.03,51.504,14.3,8.0,8.0,1.1,0.054,11.4,0.483,10.1,4.878,83.105,10.286
23.0,0.09,21.928,11.9,73.0,72.0,0.1,0.025,18.3,0.446,9.0,4.014,216.705,0.397
336.0,0.17,19.898,16.9,52.0,5.0,3.0,0.031,1.1,0.322,5.1,1.642,115.994,5.793
93.0,7.57,954.964,57.4,92.0,91.0,0.1,0.763,0.9,0.79,14.6,11.534,8.772,46.5
652.0,4.9,469.582,32.2,96.0,96.0,28.4,0.49,1.5,0.58,11.8,6.844,11.34,163.0
175.0,1.45,60.491,14.1,99.0,99.0,0.1,0.088,15.3,0.677,12.4,8.395,43.078,29.167
155.0,0.46,71.116,45.7,93.0,96.0,0.1,0.134,6.7,0.53,8.5,4.505,33.202,5.167
243.0,2.32,0.0,42.6,74.0,75.0,0.1,0.174,1.5,0.6,13.3,7.98,32.543,12.15
21.0,4.13,11.136,26.2,99.0,98.0,0.9,0.02,6.3,0.533,10.1,5.383,335.497,11.024000000000001
243.0,1.77,172.01,42.9,9.0,9.0,0.3,0.148,3.4,0.461,7.0,3.227,53.953,2.641
239.0,0.38,1.917,14.1,77.0,73.0,0.4,0.014,13.3,0.427,7.6,3.245,130.94,2.439
194.0,3.65,0.0,21.7,89.0,89.0,0.2,0.174,8.8,0.582,10.8,6.286,32.888,17.636
246.0,6.63,16.755,35.7,79.0,88.0,1.1,0.095,5.9,0.602,10.9,6.562,61.809,246.0
215.0,3.65,0.0,46.7,92.0,95.0,0.3,0.414,5.5,0.638,10.3,6.571,13.835,215.0
318.0,1.23,12.703,3.2,71.0,71.0,3.9,0.009,5.9,0.396,4.0,1.584,773.602,159.0
54.0,1.52,33.653,16.8,4.0,4.0,13.9,0.024,1.4,0.314,5.3,1.664,163.31,2.16
699.0,6.41,6.33,31.1,97.0,97.0,34.6,0.035,11.4,0.558,11.9,6.64,182.503,174.75
239.0,0.01,9.775,19.5,98.0,98.0,0.7,0.068,6.1,0.475,10.5,4.988,113.237,13.278
126.0,6.18,110.114,49.2,89.0,88.0,0.1,0.187,2.7,0.714,12.6,8.996,44.769,126.0
12.0,3.65,0.0,6.3,92.0,91.0,0.1,0.174,2.1,0.746,12.9,9.623,32.888,11.024000000000001
94.0,4.54,630.388,53.1,9.0,89.0,0.1,0.462,2.6,0.717,13.3,9.536,20.748,11.024000000000001
51.0,1.49,46.116,17.5,44.0,47.0,12.8,0.029,1.0,0.316,5.6,1.77,151.206,1.962
73.0,9.24,63.577,64.3,92.0,92.0,0.1,0.028,0.3,0.895,19.3,17.274,397.913,11.024000000000001
174.0,3.3,208.169,67.4,85.0,86.0,0.1,0.163,0.2,0.653,12.1,7.901,31.242,11.024000000000001
71.0,2.41,250.934,6.6,95.0,93.0,0.1,0.261,1.1,0.866,15.8,13.683,28.465,71.0
271.0,4.75,78.77,17.7,9.0,9.0,0.8,0.067,8.6,0.384,7.2,2.765,79.169,3.985
121.0,0.83,17.981,49.4,83.0,8.0,0.1,0.026,6.4,0.644,11.5,7.406,144.696,13.444
139.0,0.01,0.0,47.6,98.0,99.0,0.1,0.174,7.4,0.686,11.8,8.095,33.806,4.212
394.0,0.42,5.963,16.1,38.0,28.0,4.9,0.008,1.0,0.306,5.7,1.744,418.054,4.925
158.0,7.22,0.0,59.3,74.0,78.0,0.1,0.174,1.6,0.754,14.0,10.556,30.993,15.8
9.0,12.03,337.102,57.3,96.0,96.0,0.1,0.237,0.7,0.809,16.0,12.944,6.001,11.024000000000001
112.0,1.54,20.751,63.7,97.0,97.0,0.1,0.117,4.9,0.75,14.3,10.725,44.686,5.091
195.0,0.01,431.485,6.2,99.0,99.0,0.1,0.455,4.0,0.714,14.9,10.639,9.138,11.024000000000001
185.0,8.12,102.374,3.7,99.0,99.0,0.1,0.121,5.9,0.728,13.1,9.537,30.707,11.024000000000001
472.0,3.08,0.0,21.5,76.0,67.0,6.5,0.174,7.3,0.675,12.3,8.302,30.075,5.187
95.0,3.65,0.0,58.5,99.0,99.0,0.1,0.285,6.4,0.645,12.1,7.804,20.103,4.75
188.0,0.06,3.433,15.4,72.0,75.0,0.1,0.008,11.0,0.597,10.7,6.388,255.906,0.793
92.0,3.65,0.0,61.4,99.0,99.0,0.1,0.076,3.5,0.773,13.9,10.745,75.214,92.0
182.0,3.65,0.0,59.1,63.0,58.0,0.1,0.498,5.3,0.649,10.1,6.555,11.504,4.789
144.0,4.16,209.086,23.2,93.0,92.0,0.9,0.177,8.9,0.572,11.3,6.464,28.247,11.024000000000001
11.0,11.21,287.208,58.1,96.0,95.0,0.1,0.233,0.8,0.869,18.0,15.642,34.856,11.0
247.0,12.05,42.334,56.2,99.0,99.0,0.1,0.238,2.4,0.703,14.1,9.912,27.683,247.0
284.0,5.75,12.609,44.4,95.0,95.0,0.1,0.015,2.6,0.685,12.3,8.426,233.69,28.4
146.0,0.01,0.0,45.5,95.0,96.0,0.1,0.174,7.7,0.666,11.6,7.726,29.846,3.65
177.0,6.26,321.195,22.6,98.0,98.0,0.5,0.29,8.9,0.682,12.0,8.184,12.255,11.8
143.0,8.42,789.276,47.4,81.0,97.0,0.1,0.858,3.8,0.749,15.8,11.834,7.108,11.024000000000001
188.0,6.64,605.629,47.8,95.0,95.0,0.5,0.452,3.5,0.7,12.4,8.68,12.406,11.024000000000001
157.0,6.05,587.883,52.6,85.0,82.0,1.2,0.496,3.4,0.695,12.9,8.966,8.893,19.625
155.0,0.01,38.055,12.5,94.0,93.0,0.1,0.048,19.9,0.499,8.2,4.092,55.456,0.671
111.0,8.95,25.523,49.2,85.0,85.0,0.1,0.166,3.9,0.775,15.3,11.858,36.784,11.024000000000001
412.0,0.01,720.233,3.7,92.0,95.0,12.2,0.386,4.8,0.534,11.3,6.034,22.717,137.333
693.0,5.51,299.367,31.6,96.0,96.0,31.9,0.417,1.9,0.567,11.8,6.691,11.154,173.25
154.0,5.92,1088.245,57.9,9.0,91.0,0.3,0.628,3.3,0.712,13.2,9.398,6.978,22.0
275.0,0.01,0.0,26.8,9.0,9.0,3.0,0.174,7.6,0.581,11.1,6.449,29.559,27.5
24.0,3.69,0.0,15.5,56.0,57.0,0.2,0.174,9.9,0.503,9.0,4.527,23.762,1.6
215.0,0.01,11.145,26.8,63.0,64.0,1.2,0.015,8.9,0.476,7.1,3.38,260.67,17.917
19.0,2.12,60.186,17.0,87.0,88.0,0.3,0.088,11.0,0.533,10.7,5.703,63.928,1.267
238.0,0.16,283.806,18.0,93.0,95.0,0.3,0.174,17.3,0.0,10.1,0.0,33.748,238.0
84.0,10.28,954.487,57.0,9.0,9.0,0.1,0.585,1.1,0.906,16.8,15.221,20.173,11.024000000000001
237.0,0.01,78.39,22.6,85.0,86.0,0.8,0.079,6.9,0.484,10.8,5.227,90.201,118.5
287.0,0.01,48.73,23.1,84.0,84.0,1.5,0.058,6.8,0.47,12.0,5.64,88.475,14.35
133.0,4.29,516.404,5.2,93.0,93.0,0.3,0.362,1.2,0.696,13.2,9.187,12.723,8.867
366.0,2.57,183.046,21.2,83.0,81.0,6.3,0.165,6.6,0.543,12.0,6.516,25.887,8.318
24.0,2.45,249.326,42.4,84.0,84.0,0.4,0.175,1.4,0.56,9.0,5.04,39.213,1.263
34.0,1.07,5.065,13.9,96.0,96.0,1.6,0.028,9.4,0.0,5.4,0.0,107.793,3.778
248.0,3.65,0.0,35.7,92.0,92.0,2.1,0.474,8.2,0.637,11.7,7.453,12.079,82.667
73.0,1.93,266.77,6.1,99.0,99.0,0.1,0.272,6.0,0.81,14.4,11.664,13.358,11.024000000000001
98.0,4.34,94.178,45.4,8.0,88.0,0.1,0.039,2.4,0.702,11.6,8.143,183.83,98.0
121.0,3.77,59.129,52.8,87.0,87.0,0.1,0.067,1.3,0.725,13.4,9.715,108.096,15.125
387.0,5.84,6.545,13.5,75.0,82.0,5.1,0.011,8.5,0.276,4.7,1.297,471.488,10.184
134.0,3.74,7.133,48.1,66.0,78.0,0.1,0.013,2.8,0.694,12.0,8.328,677.569,134.0
296.0,0.49,57.116,17.5,7.0,69.0,2.0,0.044,1.1,0.333,5.5,1.832,143.251,2.874
144.0,3.01,434.794,72.5,57.0,62.0,0.1,0.346,0.2,0.69,12.9,8.901,16.486,11.024000000000001
48.0,2.09,37.825,16.9,72.0,73.0,13.4,0.026,4.1,0.298,5.8,1.728,221.024,0.364
7.0,7.83,578.725,23.4,97.0,97.0,0.1,0.349,1.7,0.863,14.8,12.772,22.907,1.4
36.0,7.99,575.675,31.0,83.0,83.0,8.7,0.416,1.9,0.598,11.4,6.817,20.44,9.0
251.0,0.08,0.0,31.7,73.0,73.0,0.1,0.174,14.0,0.444,7.9,3.508,24.91,3.984
39.0,1.06,30.465,14.5,61.0,5.0,2.8,0.024,11.3,0.362,7.1,2.57,193.769,0.136
74.0,4.6,364.975,58.0,99.0,99.0,0.1,0.396,1.2,0.762,14.2,10.82,15.155,11.024000000000001
125.0,5.38,946.652,54.2,71.0,88.0,0.1,0.659,1.1,0.731,13.4,9.795,7.934,11.364
78.0,3.65,0.0,41.2,99.0,99.0,0.1,0.397,5.7,0.864,14.9,12.874,14.423,11.024000000000001
123.0,9.09,8.617,59.4,93.0,93.0,0.1,0.006,2.1,0.771,14.3,11.025,226.107,123.0
173.0,0.05,11.758,14.2,7.0,7.0,0.1,0.052,11.8,0.541,11.3,6.113,7.06,57.667
284.0,0.01,31.636,46.4,81.0,74.0,1.0,0.027,1.3,0.501,9.9,4.96,168.47,21.846
446.0,10.09,44.526,14.5,59.0,64.0,8.7,0.031,6.5,0.429,10.9,4.676,297.502,2.877
723.0,4.36,0.0,27.1,67.0,65.0,33.6,0.045,9.4,0.407,9.2,3.744,157.248,17.214
165.0,3.28,0.0,28.2,98.0,89.0,0.1,0.174,5.6,0.675,12.3,8.302,32.888,13.75
177.0,0.14,0.0,51.2,99.0,99.0,0.1,0.174,3.5,0.612,11.1,6.793,33.002,2.269
459.0,7.04,346.532,41.6,7.0,7.0,26.6,0.252,14.5,0.62,12.9,7.998,35.306,5.81
217.0,0.02,61.763,26.1,73.0,74.0,1.3,0.117,9.2,0.475,7.2,3.42,27.66,18.083
15.0,4.34,941.646,53.5,92.0,92.0,0.1,0.516,2.2,0.691,12.4,8.568,13.773,1.0
132.0,0.01,63.552,59.0,98.0,98.0,0.1,0.13,5.6,0.757,14.6,11.052,24.356,66.0
249.0,3.65,0.0,25.7,78.0,82.0,1.0,0.078,6.9,0.481,10.7,5.147,73.129,6.385
286.0,4.03,3.687,22.9,67.0,65.0,2.8,0.002,7.9,0.383,9.9,3.792,628.671,20.429
212.0,0.28,1.02,21.7,76.0,89.0,0.4,0.001,1.4,0.449,7.7,3.457,4635.63,6.625
29.0,0.3,17.483,19.8,9.0,9.0,0.5,0.099,13.1,0.515,8.8,4.532,19.44,0.446
193.0,1.09,19.749,44.7,94.0,89.0,0.1,0.012,1.2,0.489,9.2,4.499,480.239,11.024000000000001
135.0,1.42,459.111,55.9,69.0,68.0,0.1,0.472,5.1,0.668,11.9,7.949,11.303,3.14
222.0,12.3,913.7,58.4,93.0,94.0,0.1,0.787,3.0,0.798,16.2,12.928,7.404,11.024000000000001
184.0,0.01,247.949,48.1,99.0,99.0,0.1,0.186,1.2,0.505,9.4,4.747,29.462,11.024000000000001
128.0,0.01,660.278,74.3,58.0,63.0,0.1,0.418,0.2,0.701,12.9,9.043,17.256,11.024000000000001
282.0,12.19,11.026,56.1,98.0,98.0,0.3,0.091,2.4,0.761,13.8,10.502,59.052,14.842
